Local,Visitante,Goles Local,goles Visitantes
Boyacá Chicó,Once Caldas,0,1
Envigado F. C.,La Equidad,2,1
Águilas Doradas,América de Cali,1,2
Deportivo Cali,Deportivo Pereira,0,2
Santa Fe,Deportivo Pasto,2,1
Alianza F. C.,Atlético Nacional,0,2
Atlético Bucaramanga,Junior,1,0
Independiente Medellín,Millonarios,1,1
Jaguares,Patriotas,0,0
Fortaleza CEIF,Deportes Tolima,1,1
Envigado F. C.,Santa Fe,0,1
Once Caldas,Águilas Doradas,1,0
Millonarios,Atlético Bucaramanga,1,0
Atlético Nacional,América de Cali,2,1
Junior,Boyacá Chicó,2,1
Deportivo Cali,Alianza F. C.,1,0
Deportivo Pereira,Independiente Medellín,1,1
Patriotas,Fortaleza CEIF,0,2
La Equidad,Jaguares,1,0
Deportes Tolima,Deportivo Pasto,2,1
Once Caldas,Atlético Nacional,2,0
Santa Fe,La Equidad,0,1
Independiente Medellín,Junior,0,0
Atlético Bucaramanga,Jaguares,0,0
Alianza F. C.,Millonarios,2,1
Deportivo Pasto,Deportivo Pereira,2,0
Fortaleza CEIF,Deportivo Cali,2,1
Águilas Doradas,Patriotas,3,2
Boyacá Chicó,Envigado F. C.,0,0
América de Cali,Deportes Tolima,1,0
Millonarios,Deportes Tolima,1,0
Envigado F. C.,Fortaleza CEIF,0,1
Jaguares,Deportivo Pasto,0,0
La Equidad,Once Caldas,1,1
Patriotas,América de Cali,1,1
Junior,Alianza F. C.,2,2
Deportivo Cali,Independiente Medellín,2,0
Atlético Nacional,Águilas Doradas,1,1
Deportivo Pereira,Boyacá Chicó,1,0
Atlético Bucaramanga,Santa Fe,0,1
Atlético Nacional,Patriotas,3,1
Deportes Tolima,La Equidad,5,1
Boyacá Chicó,Deportivo Cali,1,0
Once Caldas,Atlético Bucaramanga,2,1
Alianza F. C.,Envigado F. C.,1,1
Fortaleza CEIF,Deportivo Pereira,1,0
Águilas Doradas,Jaguares,1,0
Deportivo Pasto,Junior,1,0
América de Cali,Millonarios,2,1
Santa Fe,Independiente Medellín,1,1
Millonarios,Atlético Nacional,1,2
Independiente Medellín,Boyacá Chicó,1,0
Junior,Fortaleza CEIF,2,1
La Equidad,Águilas Doradas,0,0
Atlético Bucaramanga,América de Cali,1,2
Patriotas,Once Caldas,3,1
Jaguares,Deportes Tolima,0,2
Deportivo Cali,Santa Fe,1,3
Deportivo Pereira,Alianza F. C.,1,0
Envigado F. C.,Deportivo Pasto,0,1
América de Cali,Envigado F. C.,4,0
Deportivo Pasto,Atlético Bucaramanga,1,2
Patriotas,La Equidad,0,0
Alianza F. C.,Boyacá Chicó,4,0
